A;Adam;Alfa
B;Barbara;Bravo
C;Cezary;Charlie
D;Dorota;Delta
E;Ewa;Echo
F;Franciszek;Foxtrott
G;Grażyna;Golf
H;Henryk;Hotel
I;Irena;India
J;Jadwiga;Juliet
K;Karol;Kilo
L;Ludwik;Lima
M;Maria;Mike
N;Natalia;November
O;Olga;Oscar
P;Paweł;Papa
Q;Quebec;Quebec
R;Roman;Romeo
S;Stanisław;Sierra
T;Tadeusz;Tango
U;Urszula;Uniform
V;Violetta;Victor
W;Wanda;Whiskey
X;Xsawery;X-Ray
Y;Ypsylon;Yankee
Z;Zygmunt;Zulu
#0;Zero;Zero
#1;Jeden;One
#2;Dwa;Two
#3;Trzy;Three
#4;Cztery;Four
#5;Pięć;Five
#6;Sześć;Six
#7;Siedem;Seven
#8;Osiem;Eight
#9;Dziewięć;Nine
